episode,reward,steps,total_steps
1,-69.22077019383319,200,200
2,-65.07324633751557,200,400
3,-65.05322381153292,200,600
4,-71.15235653888908,200,800
5,-80.1095039105152,200,1000
6,-57.198983871239406,200,1200
7,-51.3155374720835,200,1400
8,-49.35231880699596,200,1600
9,-48.701223028947496,200,1800
10,-43.27338809377611,200,2000
11,-34.65713786084531,200,2200
12,-36.54565105237568,200,2400
13,-30.903666963889496,200,2600
14,-29.572015176156945,200,2800
15,-23.67715872287371,200,3000
16,-20.7393155863971,200,3200
17,-18.879451329694092,200,3400
18,-20.402149338376546,200,3600
19,-18.32508600002886,200,3800
20,-21.606936882047965,200,4000
21,-18.381548235965035,200,4200
22,-22.32926627361242,200,4400
23,-19.492329411571564,200,4600
24,-21.918770498291593,200,4800
25,-22.18408321122314,200,5000
26,-25.58441112195284,200,5200
27,-23.27521731607959,200,5400
28,-23.43377828594435,200,5600
29,-26.255730079215095,200,5800
30,-24.31018921475179,200,6000
31,-23.871775272141036,200,6200
32,-28.135330140043415,200,6400
33,-24.769732538998422,200,6600
34,-25.345768784921543,200,6800
35,-28.576564774472693,200,7000
36,-26.3091774845756,200,7200
37,-25.27573974482624,200,7400
38,-28.21474421364706,200,7600
39,-27.930451033812812,200,7800
40,-24.39457972871043,200,8000
41,-24.962471474925483,200,8200
42,-30.04553160730775,200,8400
43,-26.401508900222236,200,8600
44,-27.670375631725665,200,8800
45,-25.065856978554663,200,9000
46,-25.699535788183415,200,9200
47,-25.129279095599877,200,9400
48,-27.19375152370216,200,9600
49,-27.44199280018018,200,9800
50,-24.82790840760306,200,10000
51,-25.87974973012018,200,10200
52,-24.460372303163453,200,10400
53,-27.190068040550027,200,10600
54,-28.324554088552766,200,10800
55,-26.338884013611267,200,11000
56,-23.771771901372354,200,11200
57,-25.845596883904665,200,11400
58,-26.569313249568783,200,11600
59,-26.961666537383607,200,11800
60,-25.94145779413711,200,12000
61,-28.059187433687146,200,12200
62,-26.69571978386714,200,12400
63,-25.293317200197713,200,12600
64,-26.692968023972337,200,12800
65,-26.684772050427046,200,13000
66,-24.54768538641962,200,13200
67,-26.421947040173958,200,13400
68,-25.687997324004336,200,13600
69,-29.69616031951302,200,13800
70,-26.977527605925307,200,14000
71,-26.87877448572957,200,14200
72,-27.504593793976415,200,14400
73,-26.525606460345728,200,14600
74,-27.65709221948179,200,14800
75,-27.4702723847414,200,15000
76,-28.108626176208624,200,15200
77,-25.799137294266576,200,15400
78,-26.708504509802328,200,15600
79,-28.95120685392881,200,15800
80,-26.79042233966011,200,16000
81,-28.619813141158886,200,16200
82,-27.71151581916507,200,16400
83,-28.120696651376512,200,16600
84,-28.829095609745,200,16800
85,-27.211152551878488,200,17000
86,-29.59901559789736,200,17200
87,-27.794714971266078,200,17400
88,-29.009177736684357,200,17600
89,-26.995047117816195,200,17800
90,-28.302282132331353,200,18000
91,-28.259420175135194,200,18200
92,-27.58253992145919,200,18400
93,-26.516183676729366,200,18600
94,-27.245985214841106,200,18800
95,-27.17527122190319,200,19000
96,-28.804354238220252,200,19200
97,-27.497442463075203,200,19400
98,-26.917321546430202,200,19600
99,-28.276514704318842,200,19800
100,-26.805623530937112,200,20000
101,-28.01893996266562,200,20200
102,-27.755091106826434,200,20400
103,-25.11178231832408,200,20600
104,-26.923268382455916,200,20800
105,-28.082890581763976,200,21000
106,-27.473394692224616,200,21200
107,-27.207706842562732,200,21400
108,-26.388834559491233,200,21600
109,-27.32640620590705,200,21800
110,-28.89156755402942,200,22000
111,-28.13896319866165,200,22200
112,-27.452294023137895,200,22400
113,-26.447742029095025,200,22600
114,-26.17625875838624,200,22800
115,-28.43585097145007,200,23000
116,-27.26736467749672,200,23200
117,-27.25688194552535,200,23400
118,-28.341093672820847,200,23600
119,-28.00764445762114,200,23800
120,-29.096839972601636,200,24000
121,-26.170422629450904,200,24200
122,-26.830652500690086,200,24400
123,-29.15197200651755,200,24600
124,-28.071202470275885,200,24800
125,-27.327516740871385,200,25000
126,-26.401763236887394,200,25200
127,-26.599370360613452,200,25400
128,-26.435850902792424,200,25600
129,-25.936719830539637,200,25800
130,-27.724150995849104,200,26000
131,-28.773360411301347,200,26200
132,-27.800645030737893,200,26400
133,-25.769262648289637,200,26600
134,-26.11503588148406,200,26800
135,-26.465122211884182,200,27000
136,-25.812664110627736,200,27200
137,-24.91038982546897,200,27400
138,-26.289643061859508,200,27600
139,-24.97235754255111,200,27800
140,-24.43680164062118,200,28000
141,-28.527487302727984,200,28200
142,-26.328111266772947,200,28400
143,-26.20630456570525,200,28600
144,-27.281706392136478,200,28800
145,-27.292144268675628,200,29000
146,-23.72468448626992,200,29200
147,-25.52571580448922,200,29400
148,-27.008793611383943,200,29600
149,-25.70586969482506,200,29800
150,-25.468280117648863,200,30000
151,-24.88949408908986,200,30200
152,-25.84142494890125,200,30400
153,-24.7599509481391,200,30600
154,-25.500969581707007,200,30800
155,-27.2249316896782,200,31000
156,-26.37762248209216,200,31200
157,-25.831777238801486,200,31400
158,-26.883051003059922,200,31600
159,-27.651149020999124,200,31800
160,-25.770123794854953,200,32000
161,-27.959990317924458,200,32200
162,-27.164816636880055,200,32400
163,-30.306983243345602,200,32600
164,-25.79819316071019,200,32800
165,-24.205822232716294,200,33000
166,-26.975042952829522,200,33200
167,-26.228136560454168,200,33400
168,-27.183303590022867,200,33600
169,-27.349193869518103,200,33800
170,-27.66347154518827,200,34000
171,-27.003346894590884,200,34200
172,-28.380521584045134,200,34400
173,-22.13552602103947,200,34600
174,-27.832842504648525,200,34800
175,-26.98075490374491,200,35000
176,-25.25564977333881,200,35200
177,-25.98372908031448,200,35400
178,-26.970776295852183,200,35600
179,-25.623252453285758,200,35800
180,-28.53272550848178,200,36000
181,-25.143887893501933,200,36200
182,-29.844483584845218,200,36400
183,-30.000042921244408,200,36600
184,-27.676664334845334,200,36800
185,-24.78783715140795,200,37000
186,-26.574788792365922,200,37200
187,-27.42098323239774,200,37400
188,-27.575904136446205,200,37600
189,-27.84557649342852,200,37800
190,-25.298266104379056,200,38000
191,-28.56412405709345,200,38200
192,-26.386980668945913,200,38400
193,-25.426913470312563,200,38600
194,-26.022228806712455,200,38800
195,-26.654630728917382,200,39000
196,-26.558990124499825,200,39200
197,-26.96193136481832,200,39400
198,-27.064006736365396,200,39600
199,-25.34603558058654,200,39800
200,-26.67747496710498,200,40000
201,-27.896000765509225,200,40200
202,-28.39637468244133,200,40400
203,-30.789092278404176,200,40600
204,-27.048457097695685,200,40800
205,-26.001717918936812,200,41000
206,-29.58928276601309,200,41200
207,-28.92171698032558,200,41400
208,-28.948192657977398,200,41600
209,-29.753336958015474,200,41800
210,-27.40526741976752,200,42000
211,-27.03999634649533,200,42200
212,-25.937009739278576,200,42400
213,-23.74541820128632,200,42600
214,-27.798572932512787,200,42800
215,-26.7933750683356,200,43000
216,-26.34832298892252,200,43200
217,-26.393349770763447,200,43400
218,-27.783224204542545,200,43600
219,-27.851854304864244,200,43800
220,-26.737973951240026,200,44000
221,-27.105242666457816,200,44200
222,-25.35344002871255,200,44400
223,-28.28007316453672,200,44600
224,-25.36836101783943,200,44800
225,-27.933852806911897,200,45000
226,-28.820879954956336,200,45200
227,-25.54935057781671,200,45400
228,-27.726261140981478,200,45600
229,-28.932146355982646,200,45800
230,-27.450292688622078,200,46000
231,-27.815822793231465,200,46200
232,-29.300881015256422,200,46400
233,-26.535704028494887,200,46600
234,-28.596617247841998,200,46800
235,-26.66337966798666,200,47000
236,-28.410069874496568,200,47200
237,-26.544142299631282,200,47400
238,-26.32740404578358,200,47600
239,-25.97876603929485,200,47800
240,-28.649698154131304,200,48000
241,-28.204977453396214,200,48200
242,-28.655256441086788,200,48400
243,-27.37725680534839,200,48600
244,-25.811787362411085,200,48800
245,-27.450815330682396,200,49000
246,-25.855837767837464,200,49200
247,-28.71133633187441,200,49400
248,-27.31484269094876,200,49600
249,-28.12690396740055,200,49800
250,-26.054079749372875,200,50000
251,-26.440435107894196,200,50200
252,-26.851617247026955,200,50400
253,-25.875862299041522,200,50600
254,-26.283850265116687,200,50800
255,-26.99169236854732,200,51000
256,-28.645022430161085,200,51200
257,-28.687779313825708,200,51400
258,-28.943795857714615,200,51600
259,-27.6595189604425,200,51800
260,-26.831042834204634,200,52000
261,-27.078169216426044,200,52200
262,-26.707484102262125,200,52400
263,-26.562520791464223,200,52600
264,-27.360728810367863,200,52800
265,-25.28635754620159,200,53000
266,-27.02444770850886,200,53200
267,-29.245483790334493,200,53400
268,-29.48673589500157,200,53600
269,-30.650006814948455,200,53800
270,-26.866424149661725,200,54000
271,-30.57427017063862,200,54200
272,-26.803729393735875,200,54400
273,-30.92317630159108,200,54600
274,-30.707868848168506,200,54800
275,-29.241786198774612,200,55000
276,-25.289025334117074,200,55200
277,-28.750986546110788,200,55400
278,-28.57810745691933,200,55600
279,-27.897625507089806,200,55800
280,-26.482104100117716,200,56000
281,-27.274762903142044,200,56200
282,-27.364964197465486,200,56400
283,-30.282195916197804,200,56600
284,-29.386705206019855,200,56800
285,-27.274213066089906,200,57000
286,-28.490547677809317,200,57200
287,-27.675519472493765,200,57400
288,-29.883732134909245,200,57600
289,-28.86503225450199,200,57800
290,-25.71456847643686,200,58000
291,-28.839980057633607,200,58200
292,-30.178906919872297,200,58400
293,-28.31065839014436,200,58600
294,-29.026513941289927,200,58800
295,-28.617051063869365,200,59000
296,-26.062225227330806,200,59200
297,-26.04146779355558,200,59400
298,-28.387210718760294,200,59600
299,-26.667678379514516,200,59800
300,-29.82751086062686,200,60000
301,-27.561778697459474,200,60200
302,-27.178655922567472,200,60400
303,-29.83455641800944,200,60600
304,-29.9524779521983,200,60800
305,-28.413066024923822,200,61000
306,-27.819288786476367,200,61200
307,-28.967048734459198,200,61400
308,-27.16514197432182,200,61600
309,-27.9597801682902,200,61800
310,-28.341199220586685,200,62000
311,-26.75102972988145,200,62200
312,-26.43726830976809,200,62400
313,-27.818762964782167,200,62600
314,-27.154319647869496,200,62800
315,-27.601768104369373,200,63000
316,-28.267418157154232,200,63200
317,-27.498054356537217,200,63400
318,-27.370825431587324,200,63600
319,-27.191673404658502,200,63800
320,-26.324150681738068,200,64000
321,-28.00319374622108,200,64200
322,-28.50556743693024,200,64400
323,-29.091799852834967,200,64600
324,-29.944688182532854,200,64800
325,-28.91380212043035,200,65000
326,-27.98054347362053,200,65200
327,-28.171885863348248,200,65400
328,-27.368691873767872,200,65600
329,-28.530968551841404,200,65800
330,-27.55700165250058,200,66000
331,-27.69446107163684,200,66200
332,-29.39927028316234,200,66400
333,-29.416733562276033,200,66600
334,-29.469446745789206,200,66800
335,-26.570213072422874,200,67000
336,-27.862452228049012,200,67200
337,-26.843444960857195,200,67400
338,-28.91637866312772,200,67600
339,-26.427352067743215,200,67800
340,-26.801319204448728,200,68000
341,-28.240890365966152,200,68200
342,-27.06844977807379,200,68400
343,-28.614329068765358,200,68600
344,-27.638897851485627,200,68800
345,-29.834083977958336,200,69000
346,-28.278740998746134,200,69200
347,-28.201623301796698,200,69400
348,-27.480061236905907,200,69600
349,-28.66881506171617,200,69800
350,-24.357776352362276,200,70000
351,-27.205294498031805,200,70200
352,-29.11844319110732,200,70400
353,-28.141683894022893,200,70600
354,-30.06752905904891,200,70800
355,-30.621518367113847,200,71000
356,-29.701789073821597,200,71200
357,-29.746908080038445,200,71400
358,-31.31074262892288,200,71600
359,-29.525354723795335,200,71800
360,-27.49957524463221,200,72000
361,-28.562163559390438,200,72200
362,-30.496057192350015,200,72400
363,-30.64191604507454,200,72600
364,-28.41304531117976,200,72800
365,-30.0210198960118,200,73000
366,-25.691363910362252,200,73200
367,-25.55557299568622,200,73400
368,-27.897106149467437,200,73600
369,-29.199586629333307,200,73800
370,-29.369232142543968,200,74000
371,-27.748959530215668,200,74200
372,-31.86375249671482,200,74400
373,-28.325596269370852,200,74600
374,-30.024859994372463,200,74800
375,-28.273464124823555,200,75000
376,-29.34210629436637,200,75200
377,-29.062001494668863,200,75400
378,-29.249428079708988,200,75600
379,-31.732778244262374,200,75800
380,-31.858820071960064,200,76000
381,-29.30919347132521,200,76200
382,-29.49369522346171,200,76400
383,-26.04151046589239,200,76600
384,-27.7614888954061,200,76800
385,-25.74721192454036,200,77000
386,-29.329964232048365,200,77200
387,-27.199866418594645,200,77400
388,-27.56226536923296,200,77600
389,-26.327255323417056,200,77800
390,-30.083913368725938,200,78000
391,-28.558666002338516,200,78200
392,-27.533114109919314,200,78400
393,-28.742396557756223,200,78600
394,-28.54709093601098,200,78800
395,-29.142469985343652,200,79000
396,-27.050509214156833,200,79200
397,-27.49619191597433,200,79400
398,-27.311329603839223,200,79600
399,-27.786031907732635,200,79800
400,-26.1754568804336,200,80000
401,-28.41015231559334,200,80200
402,-25.512937864792523,200,80400
403,-28.417035723246297,200,80600
404,-28.472220322412994,200,80800
405,-27.85910697255678,200,81000
406,-29.701793807198364,200,81200
407,-25.553891424754617,200,81400
408,-28.66462727078394,200,81600
409,-29.048060852928618,200,81800
410,-29.775325292767203,200,82000
411,-29.74137197946715,200,82200
412,-28.079472398036636,200,82400
413,-29.125917650184633,200,82600
414,-31.436315039321233,200,82800
415,-28.909832921029526,200,83000
416,-27.697579049541307,200,83200
417,-27.10830598547545,200,83400
418,-25.89928547691801,200,83600
419,-30.487332620819775,200,83800
420,-30.488760394342656,200,84000
421,-27.424488771963876,200,84200
422,-29.20567433572843,200,84400
423,-28.933466453680218,200,84600
424,-27.941923276555947,200,84800
425,-29.50406662045101,200,85000
426,-30.541760256847713,200,85200
427,-30.574036741146653,200,85400
428,-27.590881565595925,200,85600
429,-29.381504779266848,200,85800
430,-26.939663197839433,200,86000
431,-28.462198214396917,200,86200
432,-25.49470745464526,200,86400
433,-27.186284505406586,200,86600
434,-31.2181443245099,200,86800
435,-28.285827425528783,200,87000
436,-29.555993117070773,200,87200
437,-28.961926885213042,200,87400
438,-28.407494572995986,200,87600
439,-28.89483013539632,200,87800
440,-29.695332552342027,200,88000
441,-27.653674823580566,200,88200
442,-28.766345984712554,200,88400
443,-29.197773454499544,200,88600
444,-30.424904627971962,200,88800
445,-28.60495691185656,200,89000
446,-28.72389373800776,200,89200
447,-26.997079372822668,200,89400
448,-30.4641966381953,200,89600
449,-29.594600630059567,200,89800
450,-25.311410288515972,200,90000
451,-27.430659558325733,200,90200
452,-24.65161364281472,200,90400
453,-27.516586620563935,200,90600
454,-29.83022656267605,200,90800
455,-28.401332374393625,200,91000
456,-29.106933674298833,200,91200
457,-29.88646603310062,200,91400
458,-29.571719077583968,200,91600
459,-25.997370988462194,200,91800
460,-29.115441785633504,200,92000
461,-27.204683890868605,200,92200
462,-30.739914644466968,200,92400
463,-26.675479144384976,200,92600
464,-27.32837871484165,200,92800
465,-27.779078648307337,200,93000
466,-28.63312198056015,200,93200
467,-28.311318766127386,200,93400
468,-29.384830266390388,200,93600
469,-26.988840475317396,200,93800
470,-30.358189090972907,200,94000
471,-29.507276292078846,200,94200
472,-29.549837941180314,200,94400
473,-28.01703048171842,200,94600
474,-29.476766857693992,200,94800
475,-28.598585688638078,200,95000
476,-25.57443435795721,200,95200
477,-27.54549083678418,200,95400
478,-25.050900047067515,200,95600
479,-25.907497579722268,200,95800
480,-26.973984937067673,200,96000
481,-25.406865449666036,200,96200
482,-28.424641552623548,200,96400
483,-25.4642552133195,200,96600
484,-27.77666478838148,200,96800
485,-25.404094916785983,200,97000
486,-27.936819985792045,200,97200
487,-27.99019115215339,200,97400
488,-27.99628917026039,200,97600
489,-27.04966402147153,200,97800
490,-29.640857288374196,200,98000
491,-25.015020254318348,200,98200
492,-25.188689482941683,200,98400
493,-27.490072400786257,200,98600
494,-25.79491614912245,200,98800
495,-28.686142022654845,200,99000
496,-26.38861868472091,200,99200
497,-27.774886557931012,200,99400
498,-25.31797071040476,200,99600
499,-28.65609082917523,200,99800
500,-27.022036909529415,200,100000
501,-27.220076682754545,200,100200
502,-26.487230207797637,200,100400
503,-27.357996983438387,200,100600
504,-27.305566684803114,200,100800
505,-25.718084198595125,200,101000
506,-24.961112821018975,200,101200
507,-24.07313322932632,200,101400
508,-26.16868228636187,200,101600
509,-29.706621391029966,200,101800
